POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Odissea,2.281.190,48.539.337,Christopher Nolan,Avventura,"USA, Gran Bretagna",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/odissea/
2,Spider-Man - Brand New Day,2.222.971,31.768.035,Destin Daniel Cretton,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/spiderman-brand-new-day/
3,La fine di Oak Street,504.593,629.823,David Robert Mitchell,Thriller,USA,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/la-fine-di-oak-street/
4,Robin Hood - Il prezzo del sangue,205.160,248.087,Michael Sarnoski,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/robin-hood-il-prezzo-del-sangue/
5,Minions & Monsters,146.597,7.900.467,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/minions-monsters/
6,Hokum,117.477,677.758,Damian McCarthy,Horror,"Irlanda, Emirati Arabi Uniti",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/hokum/
7,Toy Story 5,43.305,9.273.080,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
8,Nimrods,42.838,76.821,Lee Kirk,Commedia,USA,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/nimrods/
9,Katseye - Wild Hearts,34.255,123.183,Nadia Hallgren,Documentario,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/katseye-wild-hearts/
10,Sacrifice,28.982,34.888,Romain Gavras,Azione,"Gran Bretagna, Grecia, USA",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/sacrifice/
11,Michael,25.931,25.768.006,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
12,2026 Cortis Tour in La: Live Viewing,25.315,25.315,.,Musicale,N.D.,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/2026-cortis-tour-put-your-phone-down-in-la-live-viewing/
13,Le città di pianura,22.590,2.813.587,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
14,Il Diavolo veste Prada 2,21.831,32.176.319,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
15,I colori del tempo,11.858,1.034.203,Cédric Klapisch,Commedia,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/i-colori-del-tempo/
16,Buen Camino,11.366,76.586.262,Gennaro Nunziante,Commedia,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/buen-camino/
17,Hamnet - Nel nome del figlio,10.070,4.392.278,Chloé Zhao,Drammatico,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hamnet/
18,Discover Rome,9.547,429.485,Paco Lanciano,Documentario,Italia,2019,In relazione incasso totale,https://www.mymovies.it/film/2019/discover-rome/
19,Le cose non dette,9.149,7.070.389,Gabriele Muccino,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/le-cose-non-dette/
20,Primavera,9.006,2.705.828,Damiano Michieletto,Drammatico,"Italia, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/primavera/
