POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Spider-Man - Brand New Day,11.782.780,15.923.545,Destin Daniel Cretton,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/spiderman-brand-new-day/
2,Odissea,5.825.705,37.079.598,Christopher Nolan,Avventura,"USA, Gran Bretagna",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/odissea/
3,Minions & Monsters,261.957,7.313.773,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/minions-monsters/
4,Toy Story 5,89.810,9.068.171,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
5,Deep Water - Incubo dagli abissi,56.766,351.860,Renny Harlin,Azione,"Spagna, Nuova Zelanda, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/deep-water/
6,Terapia di famiglia,38.443,173.254,Arnaud Lemort,Commedia,"Francia, Belgio",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/terapia-di-famiglia/
7,Le città di pianura,22.975,2.717.850,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
8,Michael,22.260,25.659.076,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
9,Blue,17.714,120.609,Eleonora Puglia,Drammatico,"Polonia, Italia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/blue/
10,Il Diavolo veste Prada 2,17.074,32.089.314,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
11,... che Dio perdona a tutti,14.397,1.800.405,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
12,Gioia mia,14.276,681.339,Margherita Spampinato,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/gioia-mia/
13,Obsession,12.184,5.348.797,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
14,Amarga Navidad,11.043,1.217.369,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
15,Disclosure Day,10.989,4.993.726,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
16,L'Hangar Rosso,10.846,120.282,Juan Pablo Sallato,Drammatico,"Italia, Cile",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lhangar-rosso/
17,Il bene comune,10.654,1.976.376,Rocco Papaleo,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-bene-comune/
18,Le cose non dette,9.418,7.050.110,Gabriele Muccino,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/le-cose-non-dette/
19,Discover Rome,9.264,401.221,Paco Lanciano,Documentario,Italia,2019,In relazione incasso totale,https://www.mymovies.it/film/2019/discover-rome/
20,L'Invisibile Filo Rosso,8.560,102.562,Alessandro Bencivenga,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/linvisibile-filo-rosso/
