POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Scary Movie,1.892.820,1.892.820,Michael Tiddes,Commedia,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/scary-movie-6/
2,Backrooms,791.809,3.527.934,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
3,The Amazing Digital Circus - The Last Act,785.723,785.723,Gooseworx,Animazione,N.D.,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/the-amazing-digital-circus-the-last-act/
4,Obsession,464.837,3.433.008,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
5,Masters of the Universe,450.905,450.905,Travis Knight,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/mastersoftheuniverse/
6,Principessa Mononoke,318.628,318.628,Hayao Miyazaki,Animazione,Giappone,1997,In relazione al primo week-end di uscita,https://www.mymovies.it/film/1997/principessamononoke/
7,Michael,302.697,24.899.392,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
8,Star Wars - The Mandalorian and Grogu,181.199,3.144.068,Jon Favreau,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/star-wars-the-mandalorian-and-grogu/
9,Il Diavolo veste Prada 2,135.957,31.728.707,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
10,Amarga Navidad,123.127,1.005.503,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
11,Smart Working,70.395,70.395,Svevo Moltrasio,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/smart-working/
12,Tuner - L'Accordatore,63.072,330.816,Daniel Roher,Drammatico,"Canada, USA",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/tuner/
13,Rufus - Il draghetto marino che non sapeva nuotare,42.488,42.488,Endre Skandfer,Animazione,"Norvegia, Belgio, Germania",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/rufus-il-draghetto-marino-che-non-sapeva-nuotare/
14,Kill Bill - The Whole Bloody Affair,35.997,1.017.907,Quentin Tarantino,Azione,N.D.,2004,In relazione incasso totale,https://www.mymovies.it/film/2004/kill-bill-the-whole-bloody-affair/
15,No Good Men,31.414,103.954,Shahrbanoo Sadat,Biografico,"Germania, Francia, Danimarca, Norvegia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/no-good-men/
16,Pecore sotto copertura,28.829,1.057.077,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
17,Le città di pianura,25.995,2.426.934,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
18,Rebuilding - Come l'acqua per il fuoco,24.496,24.536,Max Walker-Silverman,Drammatico,USA,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/rebuilding/
19,L'amore sta bene su tutto,16.682,258.928,Giampaolo Morelli,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lamore-sta-bene-su-tutto/
20,Hen - Storia di una gallina,16.647,56.401,György Pálfi,Commedia,"Germania, Grecia, Ungheria",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hen-storia-di-una-gallina/
