POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Minions & Monsters,1.257.362,4.825.545,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/minions-monsters/
2,Toy Story 5,458.477,8.092.050,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
3,La casa - Il rogo del male,445.822,547.837,Sébastien Vanicek,Horror,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/la-casa-il-rogo-del-male/
4,Disclosure Day,171.867,4.792.845,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
5,Obsession,124.475,5.149.202,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
6,Supergirl,92.034,1.234.249,Craig Gillespie,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/supergirl/
7,Election Day,76.080,79.876,Giorgio Amato,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/election-day/
8,Backrooms,74.680,4.991.218,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
9,L'Hangar Rosso,44.449,44.449,Juan Pablo Sallato,Drammatico,"Italia, Cile",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/lhangar-rosso/
10,Michael,36.827,25.527.670,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
11,Scary Movie,34.242,4.137.158,Michael Tiddes,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/scary-movie-6/
12,Il Diavolo veste Prada 2,24.417,31.988.057,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
13,Le città di pianura,16.885,2.608.978,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
14,Gioia mia,16.364,629.132,Margherita Spampinato,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/gioia-mia/
15,La grazia,14.335,7.459.174,Paolo Sorrentino,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/la-grazia/
16,Cos'è l'amore?,12.849,110.201,Fabien Gorgeart,Commedia,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/cose-lamore/
17,Primavera,12.709,2.634.879,Damiano Michieletto,Drammatico,"Italia, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/primavera/
18,Le cose non dette,11.540,7.007.901,Gabriele Muccino,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/le-cose-non-dette/
19,Allora balliamo,11.392,115.602,Amélie Bonnin,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/allora-balliamo/
20,Ricchi... da morire - Delitti in famiglia,10.391,279.761,John Patton Ford,Commedia,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/ricchi-da-morire-delitti-in-famiglia/
