POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Michael,5.311.687,6.416.101,Antoine Fuqua,Biografico,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/michael/
2,Super Mario Galaxy - Il Film,511.088,13.502.804,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
3,Lee Cronin - La mummia,396.620,1.343.055,Lee Cronin,Horror,"USA, Irlanda",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lee-cronin-la-mummia/
4,The Drama - Un Segreto è per Sempre,281.065,4.978.056,Kristoffer Borgli,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/the-drama/
5,Porco rosso,179.600,357.214,Hayao Miyazaki,Animazione,Giappone,1992,In relazione al primo week-end di uscita,https://www.mymovies.it/film/1992/porcorosso/
6,The Long Walk,158.244,158.244,Francis Lawrence,Horror,USA,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/the-long-walk/
7,Il Figlio del Deserto,139.380,139.380,Gilles de Maistre,Family,Francia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/il-figlio-del-deserto/
8,L'Ultima Missione - Project Hail Mary,108.476,4.907.522,"Phil Lord, Christopher Miller",Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lultima-missione-project-hail-mary/
9,... che Dio perdona a tutti,74.589,1.630.029,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
10,Il caso 137,70.457,166.356,Dominik Moll,Thriller,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/il-caso-137/
11,La più piccola,42.123,46.130,Hafsia Herzi,Drammatico,"Francia, Germania",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/la-piu-piccola/
12,A cena con il dittatore,41.726,233.044,Manuel Gómez Pereira,Commedia,"Spagna, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/a-cena-con-il-dittatore/
13,Lo straniero,41.681,534.511,François Ozon,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/lo-straniero/
14,Il delitto del 3° piano,37.675,187.483,Rémi Bezançon,Commedia,Francia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-delitto-del-3-piano/
15,La salita,32.501,225.725,Massimiliano Gallo,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/la-salita/
16,Alla festa della rivoluzione,26.945,182.962,Arnaldo Catinari,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/alla-festa-della-rivoluzione/
17,Cena di classe,24.052,1.929.666,Francesco Mandelli,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/cena-di-classe/
18,Benvenuti in campagna,22.722,182.878,Giambattista Avellino,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/benvenuti-in-campagna/
19,Resurrection,19.433,22.041,Gan Bi,Drammatico,Cina,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/resurrection/
20,Un anno di scuola,18.677,193.092,Laura Samani,Drammatico,"Italia, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/un-anno-di-scuola/
