POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Il Diavolo veste Prada 2,11.460.189,14.178.176,David Frankel,Commedia,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
2,Michael,4.636.909,13.381.312,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
3,Super Mario Galaxy - Il Film,357.767,13.993.157,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
4,Lee Cronin - La mummia,185.931,1.661.583,Lee Cronin,Horror,"USA, Irlanda",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lee-cronin-la-mummia/
5,Nel tepore del ballo,151.868,151.946,Pupi Avati,Drammatico,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/nel-tepore-del-ballo/
6,Yellow Letters,86.062,86.062,Ilker Çatak,Drammatico,"Germania, Turchia, Francia",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/yellow-letters/
7,The Drama - Un Segreto è per Sempre,73.367,5.138.290,Kristoffer Borgli,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/the-drama/
8,Pecore sotto copertura,73.326,73.326,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
9,The Long Walk,58.910,276.102,Francis Lawrence,Horror,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/the-long-walk/
10,Il Figlio del Deserto,54.151,231.571,Gilles de Maistre,Family,Francia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-figlio-del-deserto/
11,L'Ultima Missione - Project Hail Mary,38.574,4.982.325,"Phil Lord, Christopher Miller",Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lultima-missione-project-hail-mary/
12,... che Dio perdona a tutti,29.235,1.669.654,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
13,Il caso 137,27.698,208.968,Dominik Moll,Thriller,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/il-caso-137/
14,That Time I Got Reincarnated As a Slime - Il Film - Le Lacrime del Mare Azzurro,25.721,25.721,Yasuhito Kikuchi,Animazione,Giappone,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/that-time-i-got-reincarnated-as-a-slime-il-film-le-lacrime-del-mare-azzurro/
15,A cena con il dittatore,25.529,267.070,Manuel Gómez Pereira,Commedia,"Spagna, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/a-cena-con-il-dittatore/
16,Lo straniero,21.857,570.876,François Ozon,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/lo-straniero/
17,Resurrection,17.067,52.870,Gan Bi,Drammatico,Cina,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/resurrection/
18,Kokuho - Il maestro di Kabuki,16.629,20.798,Sang-il Lee,Drammatico,Giappone,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/kokuho/
19,La più piccola,15.952,77.728,Hafsia Herzi,Drammatico,"Francia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/la-piu-piccola/
20,Nino,14.770,15.786,Pauline Loquès,Drammatico,Francia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/nino/
