POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Disclosure Day,1.630.889,1.923.635,Steven Spielberg,Fantascienza,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/disclosure-day/
2,Scary Movie,687.928,3.192.173,Michael Tiddes,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/scary-movie-6/
3,Backrooms,347.656,4.211.890,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
4,Obsession,336.031,4.027.491,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
5,Bts World Tour Arirang in Busan - Live Viewing,257.048,257.048,.,Concerto,N.D.,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/bts-world-tour-arirang-in-busan-live-viewing/
6,Masters of the Universe,184.484,779.435,Travis Knight,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/mastersoftheuniverse/
7,Michael,160.437,25.166.554,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
8,Sacro Cuore - Il suo Regno non Avrà mai Fine,88.910,623.908,"Sabrina Gunnell, Steven J. Gunnell",Documentario,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/sacro-cuore-il-suo-regno-non-avra-mai-fine/
9,Star Wars - The Mandalorian and Grogu,64.645,3.272.831,Jon Favreau,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/star-wars-the-mandalorian-and-grogu/
10,Il Diavolo veste Prada 2,60.727,31.833.586,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
11,Il prigioniero,42.381,47.524,Alejandro Amenábar,Drammatico,"Spagna, Italia",2024,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2024/il-prigioniero/
12,Amarga Navidad,41.818,1.079.740,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
13,Principessa Mononoke,38.851,580.914,Hayao Miyazaki,Animazione,Giappone,1997,In relazione incasso totale,https://www.mymovies.it/film/1997/principessamononoke/
14,Tra amore e inganni,37.510,37.510,Kat Coiro,Commedia,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/tra-amore-e-inganni/
15,Pecore sotto copertura,23.829,1.088.801,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
16,Rufus - Il draghetto marino che non sapeva nuotare,23.458,77.375,Endre Skandfer,Animazione,"Norvegia, Belgio, Germania",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/rufus-il-draghetto-marino-che-non-sapeva-nuotare/
17,Tuner - L'Accordatore,22.923,368.872,Daniel Roher,Drammatico,"Canada, USA",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/tuner/
18,Le città di pianura,21.664,2.458.244,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
19,Romería - Il mare dei ricordi,18.511,20.975,Carla Simón,Drammatico,"Spagna, Germania",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/romeria/
20,No Good Men,14.518,128.030,Shahrbanoo Sadat,Biografico,"Germania, Francia, Danimarca, Norvegia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/no-good-men/
