POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Backrooms,1.526.893,1.787.695,Kane Parsons,Horror,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/backrooms/
2,Michael,576.975,23.995.311,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
3,Obsession,568.117,2.476.074,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
4,Kill Bill - The Whole Bloody Affair,532.389,532.389,Quentin Tarantino,Azione,N.D.,2004,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2004/kill-bill-the-whole-bloody-affair/
5,Star Wars - The Mandalorian and Grogu,526.208,2.522.580,Jon Favreau,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/star-wars-the-mandalorian-and-grogu/
6,Il Diavolo veste Prada 2,348.848,31.270.391,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
7,Amarga Navidad,222.546,712.621,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
8,Tuner - L'Accordatore,139.107,139.107,Daniel Roher,Drammatico,"Canada, USA",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/tuner/
9,Innamorarsi e altre pessime idee,100.090,100.090,Simone Aleandri,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/innamorarsi-e-altre-pessime-idee/
10,King Marracash,68.649,996.718,Pippo Mezzapesa,Documentario,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/king-marracash/
11,Pecore sotto copertura,65.640,906.287,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
12,Passenger,47.617,309.414,André Øvredal,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/passenger/
13,No Good Men,38.030,39.501,Shahrbanoo Sadat,Biografico,"Germania, Francia, Danimarca, Norvegia",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/no-good-men/
14,Le città di pianura,36.858,2.361.475,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
15,Il silenzio degli altri,27.644,28.844,Eva Libertad,Drammatico,Spagna,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/il-silenzio-degli-altri/
16,Hopper - Il segreto della marmotta,20.554,213.802,Benjamin Mousquet,Animazione,"Belgio, USA, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hopper-il-segreto-della-marmotta/
17,Hen - Storia di una gallina,18.518,18.518,György Pálfi,Commedia,"Germania, Grecia, Ungheria",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/hen-storia-di-una-gallina/
18,L'amore sta bene su tutto,14.509,225.603,Giampaolo Morelli,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lamore-sta-bene-su-tutto/
19,Super Mario Galaxy - Il Film,13.498,14.398.699,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
20,Discover Rome,8.488,279.596,Paco Lanciano,Documentario,Italia,2019,In relazione incasso totale,https://www.mymovies.it/film/2019/discover-rome/
