POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Minions & Monsters,2.236.369,2.798.535,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/minions-monsters/
2,Toy Story 5,821.488,7.330.492,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
3,Disclosure Day,274.282,4.523.434,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
4,Supergirl,230.161,1.063.516,Craig Gillespie,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/supergirl/
5,Obsession,141.837,4.948.077,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
6,Backrooms,126.411,4.836.843,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
7,Scary Movie,65.531,4.079.121,Michael Tiddes,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/scary-movie-6/
8,Michael,42.542,25.471.560,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
9,Cos'è l'amore?,28.907,88.252,Fabien Gorgeart,Commedia,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/cose-lamore/
10,Il Diavolo veste Prada 2,19.358,31.949.568,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
11,Piccolo miracolo,16.811,99.802,Guido Chiesa,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/piccolo-miracolo/
12,Ricchi... da morire - Delitti in famiglia,16.584,263.207,John Patton Ford,Commedia,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/ricchi-da-morire-delitti-in-famiglia/
13,Jackass: Best and Last,16.281,116.557,Jeff Tremaine,Documentario,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/jackass-best-and-last/
14,Le città di pianura,15.857,2.566.405,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
15,Amarga Navidad,15.428,1.162.257,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
16,Allora balliamo,13.926,99.920,Amélie Bonnin,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/allora-balliamo/
17,La grazia,13.307,7.441.272,Paolo Sorrentino,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/la-grazia/
18,Separazioni,12.933,13.652,Stefano Chiantini,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/separazioni/
19,Buen Camino,11.447,76.528.177,Gennaro Nunziante,Commedia,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/buen-camino/
20,Cinque secondi,10.645,2.889.467,Paolo Virzì,Commedia,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/cinque-secondi/
