POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Il Diavolo veste Prada 2,6.657.152,24.605.766,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
2,Michael,3.367.121,18.089.418,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
3,Mortal Kombat II,407.136,476.202,Simon McQuoid,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/mortal-kombat-2/
4,Pecore sotto copertura,340.111,414.289,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
5,Billie Eilish - Hit me Hard and Soft - The Tour,300.368,300.368,"James Cameron, Billie Eilish",Documentario,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/billie-eilish-hit-me-hard-and-soft-the-tour/
6,Super Mario Galaxy - Il Film,186.577,14.225.867,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
7,Illusione,151.611,151.611,Francesca Archibugi,Drammatico,"Italia, Belgio",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/illusione/
8,L'amore sta bene su tutto,120.871,130.236,Giampaolo Morelli,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/lamore-sta-bene-su-tutto/
9,Antartica - Quasi una fiaba,78.287,78.287,Lucia Calamaro,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/antartica/
10,Yellow Letters,55.634,161.791,Ilker Çatak,Drammatico,"Germania, Turchia, Francia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/yellow-letters/
11,Nel tepore del ballo,55.164,239.034,Pupi Avati,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/nel-tepore-del-ballo/
12,Le città di pianura,54.432,1.848.343,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
13,Lee Cronin - La mummia,52.072,1.760.110,Lee Cronin,Horror,"USA, Irlanda",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lee-cronin-la-mummia/
14,The Drama - Un Segreto è per Sempre,25.733,5.187.980,Kristoffer Borgli,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/the-drama/
15,Noi due sconosciuti,24.253,24.253,Janicke Askevold,Commedia,"Norvegia, Lettonia, Lituania, Danimarca, Finlandia",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/noi-due-sconosciuti/
16,The Sea,22.200,138.709,Shai Carmeli-Pollak,Drammatico,Israele,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/the-sea/
17,A cena con il dittatore,16.929,290.073,Manuel Gómez Pereira,Commedia,"Spagna, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/a-cena-con-il-dittatore/
18,... che Dio perdona a tutti,12.969,1.689.672,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
19,Il caso 137,12.376,227.862,Dominik Moll,Thriller,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/il-caso-137/
20,Lo straniero,11.114,589.891,François Ozon,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/lo-straniero/
