POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Odissea,10.644.980,26.780.158,Christopher Nolan,Avventura,"USA, Gran Bretagna",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/odissea/
2,Minions & Monsters,562.733,6.874.264,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/minions-monsters/
3,Toy Story 5,237.616,8.903.724,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
4,Deep Water - Incubo dagli abissi,223.182,223.182,Renny Harlin,Azione,"Spagna, Nuova Zelanda, USA",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/deep-water/
5,Terapia di famiglia,103.296,103.296,Arnaud Lemort,Commedia,"Francia, Belgio",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/terapia-di-famiglia/
6,La casa - Il rogo del male,72.549,1.047.417,Sébastien Vanicek,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/la-casa-il-rogo-del-male/
7,Blue,68.206,80.014,Eleonora Puglia,Drammatico,"Polonia, Italia",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/blue/
8,A New Dawn,36.513,36.513,Yoshitoshi Shinomiya,Animazione,"Giappone, Francia",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/a-new-dawn/
9,Disclosure Day,31.341,4.973.604,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
10,Il Diavolo veste Prada 2,27.902,32.050.918,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
11,Obsession,25.642,5.326.801,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
12,Michael,24.449,25.622.980,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
13,Le città di pianura,20.831,2.673.713,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
14,L'Hangar Rosso,15.654,101.860,Juan Pablo Sallato,Drammatico,"Italia, Cile",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lhangar-rosso/
15,Agent of Happiness - Il Bhutan e la felicità,14.287,41.005,"Arun Bhattarai, Dorottya Zurbò",Documentario,"Bhutan, Ungheria",2024,In relazione incasso totale,https://www.mymovies.it/film/2024/agent-of-happiness-il-bhutan-e-la-felicita/
16,Sentimental Value,12.818,2.192.573,Joachim Trier,Commedia,"Norvegia, Germania, Danimarca, Francia, Svezia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/sentimental-value/
17,Amarga Navidad,11.458,1.203.982,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
18,... che Dio perdona a tutti,11.161,1.777.892,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
19,The Drama - Un Segreto è per Sempre,10.426,5.300.669,Kristoffer Borgli,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/the-drama/
20,Cinque secondi,10.057,2.922.963,Paolo Virzì,Commedia,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/cinque-secondi/
