POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Toy Story 5,1.658.507,5.850.007,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
2,Supergirl,630.445,633.124,Craig Gillespie,Azione,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/supergirl/
3,Disclosure Day,493.450,4.081.648,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
4,Obsession,165.017,4.714.074,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
5,Scary Movie,133.643,3.953.522,Michael Tiddes,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/scary-movie-6/
6,Backrooms,84.563,4.673.400,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
7,Jackass: Best and Last,60.771,60.771,Jeff Tremaine,Documentario,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/jackass-best-and-last/
8,Piccolo miracolo,60.301,60.301,Guido Chiesa,Drammatico,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/piccolo-miracolo/
9,Michael,50.723,25.408.229,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
10,Ricchi... da morire - Delitti in famiglia,50.623,230.547,John Patton Ford,Commedia,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/ricchi-da-morire-delitti-in-famiglia/
11,Cos'è l'amore?,44.593,44.652,Fabien Gorgeart,Commedia,Francia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/cose-lamore/
12,"Good Luck, Have Fun, Don't Die",31.970,31.970,Gore Verbinski,Animazione,"Germania, USA",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/good-luck-have-fun-dont-die/
13,Le città di pianura,23.815,2.529.310,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
14,Allora balliamo,22.084,78.216,Amélie Bonnin,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/allora-balliamo/
15,Amarga Navidad,18.523,1.136.315,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
16,Kontinental '25,17.846,19.608,Radu Jude,Commedia,Romania,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/kontinental-25/
17,Il Diavolo veste Prada 2,16.987,31.921.343,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
18,Il bene comune,15.329,1.909.926,Rocco Papaleo,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-bene-comune/
19,Cha0,11.207,11.207,Yasuhiro Aoki,Animazione,Giappone,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/chao/
20,Avemmaria,11.037,11.037,Fortunato Cerlino,Drammatico,Italia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/avemmaria/
