POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Il Diavolo veste Prada 2,2.758.584,29.170.755,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
2,Michael,2.370.711,21.428.534,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
3,Obsession,605.384,605.384,Curry Barker,Horror,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/obsession/
4,In the Grey,252.506,252.506,Guy Ritchie,Azione,"Gran Bretagna, USA",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/in-the-grey/
5,Le città di pianura,232.089,2.122.362,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
6,Pecore sotto copertura,222.082,697.634,Kyle Balda,Azione,"Irlanda, Gran Bretagna, Germania, USA",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/pecore-sotto-copertura/
7,Iron Maiden - Burning Ambition,135.853,135.853,Malcolm Venville,Documentario,USA,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/iron-maiden-burning-ambition/
8,Mortal Kombat II,131.358,720.861,Simon McQuoid,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/mortal-kombat-2/
9,Hopper - Il segreto della marmotta,129.010,129.010,Benjamin Mousquet,Animazione,"Belgio, USA, Francia",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/hopper-il-segreto-della-marmotta/
10,Super Mario Galaxy - Il Film,97.064,14.343.703,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
11,Mother Mary,71.169,71.169,David Lowery,Drammatico,"Gran Bretagna, USA, Germania, Finlandia",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/mother-mary/
12,Illusione,64.088,251.604,Francesca Archibugi,Drammatico,"Italia, Belgio",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/illusione/
13,Top Gun,54.945,113.363,Tony Scott,Avventura,USA,1986,In relazione al primo week-end di uscita,https://www.mymovies.it/film/1986/topgun/
14,Maborosi - I bagliori dell'anima,48.245,48.321,Kore'eda Hirokazu,Drammatico,Giappone,1995,In relazione al primo week-end di uscita,https://www.mymovies.it/film/1995/maborosi/
15,Antartica - Quasi una fiaba,33.467,118.583,Lucia Calamaro,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/antartica/
16,L'amore sta bene su tutto,31.992,193.257,Giampaolo Morelli,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lamore-sta-bene-su-tutto/
17,The Sea,30.067,199.689,Shai Carmeli-Pollak,Drammatico,Israele,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/the-sea/
18,Gioia mia,24.598,505.233,Margherita Spampinato,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/gioia-mia/
19,Billie Eilish - Hit me Hard and Soft - The Tour,20.785,392.931,"James Cameron, Billie Eilish",Documentario,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/billie-eilish-hit-me-hard-and-soft-the-tour/
20,Yellow Letters,18.035,193.777,Ilker Çatak,Drammatico,"Germania, Turchia, Francia",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/yellow-letters/
