POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Odissea,9.993.793,9.993.841,Christopher Nolan,Avventura,"USA, Gran Bretagna",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/odissea/
2,Minions & Monsters,683.842,5.991.499,"Pierre Coffin, Patrick Delage",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/minions-monsters/
3,Toy Story 5,258.358,8.540.306,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/toy-story-5/
4,La casa - Il rogo del male,171.064,884.946,Sébastien Vanicek,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/la-casa-il-rogo-del-male/
5,Disclosure Day,62.423,4.912.808,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
6,Obsession,56.327,5.259.619,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
7,Michael,32.296,25.580.322,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
8,L'Hangar Rosso,18.553,77.430,Juan Pablo Sallato,Drammatico,"Italia, Cile",2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lhangar-rosso/
9,Supergirl,17.795,1.281.944,Craig Gillespie,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/supergirl/
10,Il Diavolo veste Prada 2,17.353,32.014.572,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
11,Agent of Happiness - Il Bhutan e la felicità,16.464,17.222,"Arun Bhattarai, Dorottya Zurbò",Documentario,"Bhutan, Ungheria",2024,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2024/agent-of-happiness-il-bhutan-e-la-felicita/
12,Election Day,15.475,120.702,Giorgio Amato,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/election-day/
13,Le città di pianura,15.061,2.636.523,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
14,Backrooms,14.845,5.036.227,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
15,Il bene comune,10.597,1.939.866,Rocco Papaleo,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-bene-comune/
16,Anna,10.023,265.358,Monica Guerritore,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/anna/
17,Hamnet - Nel nome del figlio,9.695,4.331.924,Chloé Zhao,Drammatico,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hamnet/
18,Discover Rome,8.635,369.812,Paco Lanciano,Documentario,Italia,2019,In relazione incasso totale,https://www.mymovies.it/film/2019/discover-rome/
19,La grazia,8.346,7.472.066,Paolo Sorrentino,Drammatico,Italia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/la-grazia/
20,L'Invisibile Filo Rosso,7.628,72.730,Alessandro Bencivenga,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/linvisibile-filo-rosso/
