POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Toy Story 5,2.872.401,2.872.401,"Andrew Stanton, McKenna Harris",Animazione,"USA, Giappone",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/toy-story-5/
2,Disclosure Day,829.408,3.251.347,Steven Spielberg,Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/disclosure-day/
3,Scary Movie,260.646,3.680.570,Michael Tiddes,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/scary-movie-6/
4,Obsession,218.226,4.421.103,Curry Barker,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/obsession/
5,Backrooms,133.591,4.506.689,Kane Parsons,Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/backrooms/
6,Ricchi... da morire - Delitti in famiglia,115.390,132.413,John Patton Ford,Commedia,USA,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/ricchi-da-morire-delitti-in-famiglia/
7,Michael,78.478,25.324.682,Antoine Fuqua,Biografico,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/michael/
8,Fuze - Conto alla rovescia,70.769,80.046,David Mackenzie,Azione,Regno Unito,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/fuze-conto-alla-rovescia/
9,Allora balliamo,33.701,43.774,Amélie Bonnin,Drammatico,Francia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/allora-balliamo/
10,Masters of the Universe,33.068,868.201,Travis Knight,Azione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/mastersoftheuniverse/
11,Il Diavolo veste Prada 2,24.878,31.888.215,David Frankel,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-diavolo-veste-prada-2/
12,Le città di pianura,18.565,2.482.330,Francesco Sossai,Drammatico,"Italia, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/le-citta-di-pianura/
13,Il bacio della donna ragno,18.041,18.041,Bill Condon,Musical,"USA, Messico",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/il-bacio-della-donna-ragno/
14,Amarga Navidad,17.656,1.108.256,Pedro Almodóvar,Drammatico,Spagna,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/amarga-navidad/
15,Il prigioniero,14.588,73.257,Alejandro Amenábar,Drammatico,"Spagna, Italia",2024,In relazione incasso totale,https://www.mymovies.it/film/2024/il-prigioniero/
16,Il bene comune,11.363,1.891.539,Rocco Papaleo,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/il-bene-comune/
17,Tuner - L'Accordatore,11.294,387.358,Daniel Roher,Drammatico,"Canada, USA",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/tuner/
18,Hamnet - Nel nome del figlio,10.515,4.275.466,Chloé Zhao,Drammatico,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hamnet/
19,Romería - Il mare dei ricordi,9.752,35.966,Carla Simón,Drammatico,"Spagna, Germania",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/romeria/
20,Ti Auguro ogni Bene,9.317,9.317,Tommy Dorfman,Drammatico,USA,2024,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2024/ti-auguro-ogni-bene/
